Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2023-06-20,13010,3640.0,3655.0,3635.0,3655.0,0,0,15300.0,55743500.0,1.0,3640.0,3655.0,3635.0,3655.0,15300.0
2023-06-21,13010,3655.0,3680.0,3655.0,3675.0,0,0,19600.0,71973500.0,1.0,3655.0,3680.0,3655.0,3675.0,19600.0
2023-06-22,13010,3675.0,3685.0,3665.0,3665.0,0,0,21700.0,79703500.0,1.0,3675.0,3685.0,3665.0,3665.0,21700.0
2023-06-23,13010,3660.0,3670.0,3625.0,3635.0,0,0,29500.0,107447500.0,1.0,3660.0,3670.0,3625.0,3635.0,29500.0
2023-06-26,13010,3645.0,3645.0,3600.0,3605.0,0,0,23400.0,84706000.0,1.0,3645.0,3645.0,3600.0,3605.0,23400.0
2023-06-27,13010,3600.0,3615.0,3575.0,3605.0,0,0,17500.0,62957500.0,1.0,3600.0,3615.0,3575.0,3605.0,17500.0
2023-06-28,13010,3615.0,3650.0,3610.0,3650.0,0,0,20300.0,73805000.0,1.0,3615.0,3650.0,3610.0,3650.0,20300.0
2023-06-29,13010,3650.0,3660.0,3620.0,3635.0,0,0,16800.0,61054000.0,1.0,3650.0,3660.0,3620.0,3635.0,16800.0
2023-06-30,13010,3650.0,3650.0,3600.0,3615.0,0,0,27700.0,100062000.0,1.0,3650.0,3650.0,3600.0,3615.0,27700.0
2023-07-03,13010,3620.0,3655.0,3620.0,3650.0,0,0,12500.0,45537500.0,1.0,3620.0,3655.0,3620.0,3650.0,12500.0
2023-07-04,13010,3640.0,3650.0,3635.0,3635.0,0,0,14300.0,52042500.0,1.0,3640.0,3650.0,3635.0,3635.0,14300.0
2023-07-05,13010,3615.0,3620.0,3600.0,3610.0,0,0,16500.0,59571500.0,1.0,3615.0,3620.0,3600.0,3610.0,16500.0
2023-07-06,13010,3610.0,3630.0,3595.0,3600.0,0,0,22300.0,80460000.0,1.0,3610.0,3630.0,3595.0,3600.0,22300.0
2023-07-07,13010,3620.0,3630.0,3590.0,3610.0,0,0,30600.0,110538000.0,1.0,3620.0,3630.0,3590.0,3610.0,30600.0
2023-07-10,13010,3635.0,3645.0,3615.0,3620.0,0,0,27500.0,99739000.0,1.0,3635.0,3645.0,3615.0,3620.0,27500.0
